filepath,xmin,xmax,ymin,ymax;;;;;;xxmyym
./100_imgs_default_xml\N1.xml,1093,1396,645,727;;;;;;[[1083 1376  647  743]]
./100_imgs_default_xml\N100.xml,134,301,312,350;;;;;;[[161 319 276 331]]
./100_imgs_default_xml\N102.xml,164,316,216,243;;;;;;[[158 314 213 246]]
./100_imgs_default_xml\N103.xml,813,1067,665,724;;;;;;[[ 824 1070  653  733]]
./100_imgs_default_xml\N104.xml,66,154,166,197;;;;;;[[ 64 163 168 196]]
./100_imgs_default_xml\N105.xml,360,434,174,195;;;;;;[[358 434 170 197]]
./100_imgs_default_xml\N106.xml,137,262,249,290;;;;;;[[156 286 254 294]]
./100_imgs_default_xml\N107.xml,207,356,174,287;;;;;;[[214 350 188 285]]
./100_imgs_default_xml\N108.xml,184,342,220,257;;;;;;[[180 340 219 258]]
./100_imgs_default_xml\N109.xml,148,239,250,320;;;;;;[[160 315 271 327]]
./100_imgs_default_xml\N11.xml,131,187,130,144;;;;;;[[128 188 129 145]]
./100_imgs_default_xml\N110.xml,183,249,211,227;;;;;;[[140 249 211 238]]
./100_imgs_default_xml\N111.xml,80,239,364,402;;;;;;[[187 367 348 399]]
./100_imgs_default_xml\N112.xml,179,347,256,290;;;;;;[[174 350 253 290]]
./100_imgs_default_xml\N113.xml,39,108,129,157;;;;;;[[ 54 110 138 137]]
./100_imgs_default_xml\N12.xml,976,1284,669,754;;;;;;[[ 956 1270  672  765]]
./100_imgs_default_xml\N14.xml,1058,1351,660,756;;;;;;[[1059 1355  667  765]]
./100_imgs_default_xml\N15.xml,582,853,622,691;;;;;;[[596 866 624 702]]
./100_imgs_default_xml\N16.xml,887,1173,625,696;;;;;;[[ 883 1175  625  705]]
./100_imgs_default_xml\N17.xml,88,216,507,556;;;;;;[[ 73 213 507 567]]
./100_imgs_default_xml\N18.xml,373,528,366,408;;;;;;[[369 536 352 405]]
./100_imgs_default_xml\N19.xml,99,216,367,423;;;;;;[[ 84 226 376 427]]
./100_imgs_default_xml\N2.xml,1804,2493,1734,1882;;;;;;[[1768 2485 1739 1931]]
./100_imgs_default_xml\N20.xml,498,796,729,814;;;;;;[[489 803 714 798]]
./100_imgs_default_xml\N21.xml,244,403,221,258;;;;;;[[236 403 220 258]]
